Category,Sub-Technique,Description,GIF URL,GIF Filename,Creator,Source URL,Page URL
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/28/tumblr_fad1fe2fdc31df9712e1f11c5a158137_d1a2618d_540/e3039d23b9c48c61a14868ff6d630ecf.gif,e3039d23b9c48c61a14868ff6d630ecf.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/tumblr_9275ed640eced26d2a833c7c893a8e6a_a491b766_540/40a6181cde63647587a5a9247ad95b3f.gif,40a6181cde63647587a5a9247ad95b3f.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/tumblr_c837ae1cf0e42a09ef2925ba7f9de431_48957f52_540/05cf250f1f6a720233147161ba30fe9a.gif,05cf250f1f6a720233147161ba30fe9a.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/25/tumblr_dbe5a437e8f593821fffef5c57ba01db_7db67b60_540/d2b619639630fd00844287cff267dde7.gif,d2b619639630fd00844287cff267dde7.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/30/tumblr_8d330d6df3f4dedc478f101eee98a252_59bcfd6e_540/fea5050f32c556a6a8e6f00cd13b901b.gif,fea5050f32c556a6a8e6f00cd13b901b.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/20/tumblr_47ad4621c623e09365bbcb542ea5b50d_d69d8c04_540/09c8396bcdfc988e5eeb45570bb6657d.gif,09c8396bcdfc988e5eeb45570bb6657d.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/Aspect_ratio_-_16x9_EC7Zx9N/628a12dee16e71d85b0a538b3ffa90f0.gif,628a12dee16e71d85b0a538b3ffa90f0.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/8d61688b7edc505ce422ec06d010607f/14174954524c35f5dd3615243cd58048.gif,14174954524c35f5dd3615243cd58048.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/tumblr_c114399e3a2aca2e966c5420ffb22b44_16ed5889_540/eac50f763c100e678137b71cb695f87f.gif,eac50f763c100e678137b71cb695f87f.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/tumblr_38c19bf28ae97842c05f3cb58b6792a9_197227d9_540/a593551b3fa1000ce57c94d446f922f6.gif,a593551b3fa1000ce57c94d446f922f6.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_0a22da7f71a1a7d99807fb0f54cb2e11_82508a88_540/f21da1c9b7fdca083c681a0d08317ca7.gif,f21da1c9b7fdca083c681a0d08317ca7.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_d221c7e10a841af2eb62a0b5c783a602_126f7559_540/5cf5ec3b713d3273a8b55f45c317d23e.gif,5cf5ec3b713d3273a8b55f45c317d23e.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/10/2_3t2B6xV/1481fc8ebf29eb739d20d080da15d134.gif,1481fc8ebf29eb739d20d080da15d134.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/23/Amine_-_Charmander_Official_Music_Video_8kyJ1IJ/8d61fe5b54d61579971c16d8a709f0b3.gif,8d61fe5b54d61579971c16d8a709f0b3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/tumblr_fe289e0a39982d28922c6c335a3f89ef_7d962451_540/c94ab4b2e7ba76d0f4b700ccf88281de.gif,c94ab4b2e7ba76d0f4b700ccf88281de.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/tumblr_18e978763746ce03f64fd1d2fc4165fd_c241976a_540/fb26c04a355650ff56b6780de44265f8.gif,fb26c04a355650ff56b6780de44265f8.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/10/3_8tl1Yg1/ce8c8942a76480b43ef7a76dff8c2e88.gif,ce8c8942a76480b43ef7a76dff8c2e88.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/07/6/f1817b01a18fc8d9face5eacfa3b735e.gif,f1817b01a18fc8d9face5eacfa3b735e.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/tumblr_fbcc41664bdbdccd66d442921019337d_8549d324_540/b9e4b156f20ea2cd411687cb71bf7de9.gif,b9e4b156f20ea2cd411687cb71bf7de9.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/30/tumblr_bb84b91061923b2208dcaf974f168ce9_ef3b3b46_540/c12128afaf8ca98cb4d41cac3e824fd3.gif,c12128afaf8ca98cb4d41cac3e824fd3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/11/WILLOW_-_Carly_Gibert_Y0kVwP5/9a449cd8b1dde568227db536e42aad7c.gif,9a449cd8b1dde568227db536e42aad7c.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/Unicef_-_Never_give_up/efda14e4be34c630d08aa5d32a6931a4.gif,efda14e4be34c630d08aa5d32a6931a4.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_e17e93bb5963841eed3772a8ebc75470_9d14b448_540/8b8a08a574222f74a923f211b2aa6846.gif,8b8a08a574222f74a923f211b2aa6846.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/21/Making_Weight___ASICS_0KxirWC/d9646df650f22fb6f5cc82ee1ad4dd62.gif,d9646df650f22fb6f5cc82ee1ad4dd62.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/11/Joao_Borsch_-_Apaz_EYGlDsp/e6224e360a4bc66bd065563d1b996ed3.gif,e6224e360a4bc66bd065563d1b996ed3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/20/tumblr_a094d4ea6b6c2b54e015a64cf1e3b3c6_8f3d26d6_540/640cbc7ce3461f267510148a785f640f.gif,640cbc7ce3461f267510148a785f640f.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/09/tumblr_c905e1c39d5121f3651a3e6262d4c448_47b3bedc_1280/0ec7784be064d96be7af7d50262b4cd2.gif,0ec7784be064d96be7af7d50262b4cd2.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/tumblr_b27e7b16b5d4fff29dbc5d34a4773b21_c0e41484_540/406993ee8d41cd56a626c06691141bc3.gif,406993ee8d41cd56a626c06691141bc3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/15/AIR_JORDAN__ROOKIE_CARD__-_SHORT_FILM_u7B7n3H/33ee2df548999c1825eae1ad95d7f283.gif,33ee2df548999c1825eae1ad95d7f283.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/19/PSU076/724fae1d089e54d6a85bf3d5aa4dd0b1.gif,724fae1d089e54d6a85bf3d5aa4dd0b1.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/07/05/hello_8dm8Fqq/3777eaf6fde2d4bb000e933cb4aad6c6.gif,3777eaf6fde2d4bb000e933cb4aad6c6.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/Sequence_01_YfEQTOe/6e2e5f5bec68192ae021c8ecd2916317.gif,6e2e5f5bec68192ae021c8ecd2916317.gif,"",,https://eyecannndy.com/technique/close-up
